r,DLE,DLE error,DLH,DLHerror,DL,Dlerror
1.05,2.10E-21,-2.32E-22,-1.50E-23,2.29E-24,2.08182483142718E-21,-2.29648311357312E-22
2.05,7.87E-21,1.05E-23,-2.24E-22,-7.82E-24,7.64950483145794E-21,2.65644266548885E-24
3.05,1.50E-20,2.11E-21,-7.18E-22,8.50E-24,1.42727447826926E-20,2.11607775350423E-21
4.05,1.62E-20,-2.03E-21,-1.73E-21,2.07E-23,1.45116392060983E-20,-2.00840553429015E-21
5.05,1.20E-20,-8.02E-22,-3.36E-21,2.23E-22,8.66942720822242E-21,-5.79093804951765E-22
6.05,1.24E-20,-4.81E-21,-5.22E-21,1.18E-22,7.14116167653207E-21,-4.69100657157919E-21
7.05,-4.96E-21,1.12E-20,-7.44E-21,-7.83E-22,-1.23964781935211E-20,1.03866704014504E-20
8.05,-1.22E-20,3.34E-22,-8.70E-21,-4.27E-22,-2.09375441173403E-20,-9.34081368864112E-23
9.05,-5.67E-20,-1.76E-20,-1.04E-20,-3.69E-23,-6.71558043782222E-20,-1.76091135498973E-20
10.05,-7.82E-20,-2.87E-21,-1.30E-20,1.13E-21,-9.12592183483744E-20,-1.74277245857545E-21
11.05,-1.04E-19,-1.04E-20,-1.31E-20,-1.07E-21,-1.16805713005359E-19,-1.15104030624407E-20
12.05,-1.52E-19,7.32E-21,-1.39E-20,-1.81E-23,-1.6538743242437E-19,7.30242062430205E-21
13.05,-2.16E-19,-1.05E-20,-1.73E-20,-2.31E-21,-2.33436668693613E-19,-1.27995445538562E-20
14.05,-2.34E-19,-9.51E-21,-2.47E-20,-3.15E-21,-2.59061212626545E-19,-1.26599006526304E-20
15.05,-2.83E-19,-3.06E-20,-2.38E-20,-2.97E-22,-3.06581887910299E-19,-3.09385771353952E-20
16.05,-3.40E-19,-2.59E-20,-2.89E-20,8.99E-22,-3.6924801333936E-19,-2.50042271690407E-20
17.05,-3.98E-19,-1.19E-20,-2.40E-20,3.22E-21,-4.21531064957152E-19,-8.69192415753247E-21
18.05,-4.91E-19,3.81E-20,-2.91E-20,2.15E-21,-5.19817583137772E-19,4.0201981377869E-20
19.05,-5.63E-19,-2.46E-20,-2.80E-20,8.49E-22,-5.90999162913584E-19,-2.37989946852126E-20
20.05,-6.42E-19,-1.06E-20,-4.14E-20,3.06E-21,-6.83458037470763E-19,-7.54041633632404E-21
21.05,-7.21E-19,6.42E-21,-3.27E-20,-8.50E-21,-7.53461567834805E-19,-2.07436485033153E-21
22.05,-7.29E-19,4.86E-20,-5.19E-20,8.19E-22,-7.80506986224925E-19,4.93948105800843E-20
23.05,-8.13E-19,4.25E-20,-5.20E-20,-1.86E-21,-8.64548017880774E-19,4.06545235940319E-20
24.05,-9.26E-19,-2.88E-20,-3.82E-20,2.89E-22,-9.64127613037753E-19,-2.84986509952855E-20
25.05,-1.03E-18,1.98E-20,-4.39E-20,1.07E-22,-1.07887941291637E-18,1.99507276748475E-20
26.05,-1.17E-18,-4.56E-20,-6.00E-20,-3.49E-21,-1.22524793162284E-18,-4.90465124737058E-20
27.05,-1.19E-18,-3.74E-20,-6.42E-20,1.49E-21,-1.25010866591225E-18,-3.5949420285879E-20
28.05,-1.28E-18,2.49E-20,-5.77E-20,8.71E-21,-1.33501122052033E-18,3.35618701302987E-20
29.05,-1.37E-18,3.01E-20,-6.50E-20,-2.21E-21,-1.43358625411014E-18,2.78763116349385E-20
30.05,-1.43E-18,4.60E-20,-7.88E-20,-7.40E-21,-1.51201879345103E-18,3.85689299759062E-20
31.05,-1.50E-18,-2.25E-21,-7.80E-20,1.78E-21,-1.57919129202826E-18,-4.67538807410279E-22
32.05,-1.55E-18,3.13E-20,-6.98E-20,-7.87E-21,-1.62165542297503E-18,2.34322076392153E-20
33.05,-1.66E-18,-3.01E-20,-9.39E-20,4.18E-22,-1.75404684500296E-18,-2.96393556178311E-20
34.05,-1.81E-18,-8.38E-20,-8.75E-20,-7.70E-21,-1.900728586005E-18,-9.1468125632917E-20
35.05,-1.86E-18,-5.03E-20,-6.95E-20,-4.17E-21,-1.92862481525863E-18,-5.45025032194541E-20
36.05,-1.95E-18,8.45E-20,-6.36E-20,-6.01E-21,-2.00894179655287E-18,7.84587590793277E-20
37.05,-2.01E-18,8.77E-22,-9.07E-20,1.09E-21,-2.09667364153201E-18,1.96455909673124E-21
38.05,-2.09E-18,1.72E-20,-9.18E-20,2.15E-21,-2.18155025807195E-18,1.92981395824615E-20
39.05,-2.23E-18,-1.18E-20,-9.23E-20,-4.66E-21,-2.32057207591572E-18,-1.65075006516424E-20
40.05,-2.24E-18,3.52E-21,-9.19E-20,9.35E-21,-2.32933468439E-18,1.28688763824262E-20
41.05,-2.34E-18,-5.83E-20,-9.48E-20,1.35E-20,-2.43586659318572E-18,-4.47574350197724E-20
42.05,-2.42E-18,8.94E-21,-1.23E-19,-3.68E-21,-2.54044050659344E-18,5.25635452085516E-21
43.05,-2.50E-18,-4.44E-20,-1.03E-19,1.10E-20,-2.6055309401081E-18,-3.33236267605111E-20
44.05,-2.62E-18,1.77E-20,-1.21E-19,3.27E-21,-2.7454226485671E-18,2.09559728644356E-20
45.05,-2.63E-18,-7.11E-20,-1.06E-19,-6.96E-21,-2.73931494763887E-18,-7.8064610940179E-20
46.05,-2.62E-18,-5.61E-20,-1.20E-19,-5.02E-21,-2.74406966632372E-18,-6.10944245538646E-20
47.05,-2.76E-18,-8.30E-20,-1.13E-19,-1.01E-21,-2.87236440477755E-18,-8.40445329633043E-20
48.05,-2.84E-18,-4.74E-20,-9.62E-20,-1.45E-20,-2.9402282048242E-18,-6.18925761704461E-20
49.05,-3.04E-18,-3.26E-20,-1.13E-19,-1.10E-21,-3.14923453033155E-18,-3.37290799522329E-20
50.05,-3.11E-18,1.88E-20,-1.28E-19,-1.49E-20,-3.23943226943302E-18,3.94460245256487E-21
